net,length_um
net457,100.3µm
_3016_,100.28µm
_2493_,100.13µm
clknet_leaf_6_clk,100µm
clknet_leaf_0_clk,99.88µm
net347,99.62µm
u_aes128_optimized.u_aes_core.shift_rows_out\[60\],99.6µm
net201,99.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[67\],99.32µm
_2735_,99.12µm
u_aes128_optimized.u_aes_core.shift_rows_out\[57\],99.04µm
net473,98.975µm
u_aes128_optimized.u_aes_core.shift_rows_out\[104\],98.925µm
clknet_leaf_86_clk,98.88µm
_2981_,98.84µm
u_aes128_optimized.u_aes_core.round_key_reg\[27\],98.63µm
u_aes128_optimized.u_aes_core.shift_rows_out\[96\],98.615µm
clknet_leaf_75_clk,98.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[62\],98.34µm
u_aes128_optimized.u_aes_core.round_key_reg\[17\],98.09µm
_2029_,98µm
net845,97.97µm
clknet_leaf_47_clk,97.92µm
u_aes128_optimized.u_aes_core.shift_rows_out\[119\],97.84µm
u_aes128_optimized.u_aes_core.shift_rows_out\[11\],97.84µm
net349,97.835µm
u_aes128_optimized.u_aes_core.shift_rows_out\[106\],97.76µm
_1186_,97.75µm
_1579_,97.74µm
net345,97.68µm
net219,97.28µm
net530,97.28µm
net402,97.03µm
u_aes128_optimized.u_aes_core.round_key_reg\[38\],96.96µm
_1586_,96.94µm
net13,96.77µm
net31,96.26µm
u_aes128_optimized.u_aes_core.byte_count\[3\],96.1µm
u_aes128_optimized.u_aes_core.round_key_reg\[10\],96.03µm
u_aes128_optimized.u_aes_core.shift_rows_out\[21\],95.9µm
net368,95.875µm
_2308_,95.8µm
u_aes128_optimized.u_aes_core.shift_rows_out\[63\],95.74µm
_2294_,95.64µm
_1494_,95.54µm
u_aes128_optimized.u_aes_core.shift_rows_out\[99\],95.38µm
net382,95.14µm
_1078_,94.86µm
net752,94.83µm
_2242_,94.74µm
net306,94.7µm
net532,94.66µm
u_aes128_optimized.u_aes_core.shift_rows_out\[85\],94.64µm
net721,94.59µm
net745,94.45µm
net675,94.3µm
_1199_,94.26µm
_1491_,94.26µm
net755,94.25µm
net277,94.24µm
u_aes128_optimized.u_aes_core.shift_rows_out\[89\],94.2µm
_1927_,94.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[87\],93.98µm
clknet_leaf_34_clk,93.965µm
_1954_,93.94µm
_3026_,93.78µm
clknet_leaf_61_clk,93.78µm
_1165_,93.74µm
clknet_leaf_19_clk,93.7µm
clknet_leaf_51_clk,93.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[92\],93.34µm
u_aes128_optimized.u_aes_core.round_key_reg\[18\],93.23µm
u_aes128_optimized.u_aes_core.shift_rows_out\[100\],93.04µm
net334,93µm
net350,92.98µm
net289,92.92µm
net619,92.845µm
net224,92.8µm
net724,92.8µm
_1595_,92.74µm
clknet_leaf_65_clk,92.66µm
u_aes128_optimized.u_aes_core.shift_rows_out\[115\],92.64µm
net815,92.64µm
_1148_,92.625µm
u_aes128_optimized.u_aes_core.shift_rows_out\[105\],92.56µm
_2092_,92.44µm
u_aes128_optimized.u_aes_core.shift_rows_out\[14\],92.405µm
u_aes128_optimized.u_aes_core.shift_rows_out\[18\],92.39µm
net702,92.07µm
net653,92.005µm
u_aes128_optimized.u_aes_core.round_key_reg\[3\],91.98µm
u_aes128_optimized.u_aes_core.shift_rows_out\[16\],91.8µm
clknet_leaf_62_clk,91.42µm
net469,91.4µm
_1149_,91.2µm
_2136_,91.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[54\],91.115µm
u_aes128_optimized.u_aes_core.shift_rows_out\[35\],90.96µm
u_aes128_optimized.u_aes_core.shift_rows_out\[47\],90.95µm
net799,90.92µm
clknet_leaf_82_clk,90.9µm
u_aes128_optimized.u_aes_core.round_key_reg\[20\],90.54µm
net230,90.38µm
u_aes128_optimized.u_aes_core.shift_rows_out\[41\],90.26µm
_1183_,90.24µm
u_aes128_optimized.u_aes_core.shift_rows_out\[26\],90.14µm
net541,89.835µm
u_aes128_optimized.u_aes_core.shift_rows_out\[40\],89.82µm
u_aes128_optimized.u_aes_core.shift_rows_out\[30\],89.62µm
clknet_leaf_52_clk,89.58µm
net200,89.56µm
_1379_,89.37µm
_1590_,89.16µm
net786,88.93µm
net236,88.86µm
_1223_,88.76µm
_1398_,88.74µm
_1854_,88.6µm
u_aes128_optimized.u_aes_core.shift_rows_out\[0\],88.52µm
net337,88.48µm
net380,88.23µm
net742,88.03µm
u_aes128_optimized.u_aes_core.round_key_reg\[11\],88.01µm
_1599_,87.95µm
u_aes128_optimized.u_aes_core.round_key_reg\[24\],87.93µm
_1151_,87.86µm
u_aes128_optimized.u_aes_core.round_key_reg\[28\],87.81µm
u_aes128_optimized.u_aes_core.shift_rows_out\[55\],87.78µm
net734,87.71µm
_1092_,87.56µm
net113,87.48µm
u_aes128_optimized.u_aes_core.shift_rows_out\[28\],87.4µm
u_aes128_optimized.u_aes_core.round_key_reg\[99\],87.21µm
u_aes128_optimized.u_aes_core.shift_rows_out\[80\],87.2µm
_1196_,87.16µm
u_aes128_optimized.u_aes_core.round_key_reg\[67\],87.1µm
u_aes128_optimized.u_aes_core.shift_rows_out\[12\],87µm
_1583_,86.73µm
net825,86.66µm
_2063_,86.62µm
_2111_,86.58µm
net738,86.58µm
_1118_,86.56µm
u_aes128_optimized.u_aes_core.shift_rows_out\[97\],86.325µm
_2158_,86.15µm
net50,86.1µm
net351,86.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[78\],86.035µm
_1756_,85.83µm
net568,85.83µm
net697,85.83µm
_2390_,85.76µm
u_aes128_optimized.u_aes_core.shift_rows_out\[23\],85.65µm
_2186_,85.52µm
u_aes128_optimized.u_aes_core.shift_rows_out\[93\],85.52µm
net652,85.36µm
_2453_,85.24µm
net687,84.96µm
net206,84.84µm
u_aes128_optimized.u_aes_core.shift_rows_out\[65\],84.8µm
_1906_,84.66µm
u_aes128_optimized.u_aes_core.shift_rows_out\[66\],84.52µm
_3031_,84.37µm
net464,84.21µm
_2148_,84.2µm
net465,84.08µm
net778,83.95µm
_2459_,83.93µm
net723,83.19µm
u_aes128_optimized.u_aes_core.shift_rows_out\[77\],83.145µm
u_aes128_optimized.u_aes_core.shift_rows_out\[64\],83.095µm
u_aes128_optimized.u_aes_core.round_key_reg\[8\],83.01µm
net637,82.99µm
u_aes128_optimized.u_aes_core.shift_rows_out\[13\],82.91µm
_1951_,82.76µm
net460,82.56µm
clknet_leaf_20_clk,82.44µm
